date,SACTMIN,Ride
2016-03-28,56.0,Rock N Rollercoaster
2016-03-29,20.0,Rock N Rollercoaster
2016-03-30,,Rock N Rollercoaster
2016-03-31,42.0,Rock N Rollercoaster
2016-04-01,36.5,Rock N Rollercoaster
2016-04-02,,Rock N Rollercoaster
2016-04-03,31.0,Rock N Rollercoaster
2016-04-04,38.0,Rock N Rollercoaster
2016-04-05,45.1,Rock N Rollercoaster
2016-04-06,71.5,Rock N Rollercoaster
2016-04-07,12.0,Rock N Rollercoaster
2016-04-08,26.5,Rock N Rollercoaster
2016-04-09,34.5,Rock N Rollercoaster
2016-04-10,18.5,Rock N Rollercoaster
2016-04-11,10.0,Rock N Rollercoaster
2016-04-12,28.0,Rock N Rollercoaster
2016-04-13,,Rock N Rollercoaster
2016-04-14,27.5,Rock N Rollercoaster
2016-04-15,21.0,Rock N Rollercoaster
2016-04-16,17.5,Rock N Rollercoaster
2016-04-17,14.0,Rock N Rollercoaster
2016-04-18,46.0,Rock N Rollercoaster
2016-04-19,26.5,Rock N Rollercoaster
2016-04-20,23.5,Rock N Rollercoaster
2016-04-21,31.0,Rock N Rollercoaster
2016-04-22,32.333333333333336,Rock N Rollercoaster
2016-04-23,43.25,Rock N Rollercoaster
2016-04-24,,Rock N Rollercoaster
2016-04-25,50.0,Rock N Rollercoaster
2016-04-26,38.333333333333336,Rock N Rollercoaster
2016-04-27,61.5,Rock N Rollercoaster
2016-04-28,6.0,Rock N Rollercoaster
2016-04-29,114.0,Rock N Rollercoaster
2016-04-30,36.5,Rock N Rollercoaster
2016-05-01,25.0,Rock N Rollercoaster
2016-05-02,18.0,Rock N Rollercoaster
2016-05-03,14.222222222222221,Rock N Rollercoaster
2016-05-04,16.0,Rock N Rollercoaster
2016-05-05,,Rock N Rollercoaster
2016-05-06,17.0,Rock N Rollercoaster
2016-05-07,6.0,Rock N Rollercoaster
2016-05-08,17.6,Rock N Rollercoaster
2016-05-09,22.666666666666668,Rock N Rollercoaster
2016-05-10,11.555555555555555,Rock N Rollercoaster
2016-05-11,12.0,Rock N Rollercoaster
2016-05-12,,Rock N Rollercoaster
2016-05-13,33.2,Rock N Rollercoaster
2016-05-14,,Rock N Rollercoaster
2016-05-15,26.333333333333332,Rock N Rollercoaster
2016-05-16,19.5,Rock N Rollercoaster
2016-05-17,26.833333333333332,Rock N Rollercoaster
2016-05-18,17.666666666666668,Rock N Rollercoaster
2016-05-19,8.666666666666666,Rock N Rollercoaster
2016-05-20,19.0,Rock N Rollercoaster
2016-05-21,,Rock N Rollercoaster
2016-05-22,16.0,Rock N Rollercoaster
2016-05-23,35.75,Rock N Rollercoaster
2016-05-24,17.0,Rock N Rollercoaster
2016-05-25,55.0,Rock N Rollercoaster
2016-05-26,16.0,Rock N Rollercoaster
2016-05-27,19.0,Rock N Rollercoaster
2016-05-28,41.0,Rock N Rollercoaster
2016-05-29,31.428571428571427,Rock N Rollercoaster
2016-05-30,15.0,Rock N Rollercoaster
2016-05-31,,Rock N Rollercoaster
2016-06-01,76.5,Rock N Rollercoaster
